eval_id,model,task_name,overall_table_match,overall_cell_match,size,table_match,cell_match
hWCMAADhQYQcfF9jGpTyGx,o3-high,naive_cot,0.9,0.9291666666666666,3*4,1.0,1.0
hWCMAADhQYQcfF9jGpTyGx,o3-high,naive_cot,0.9,0.9291666666666666,4*5,1.0,1.0
hWCMAADhQYQcfF9jGpTyGx,o3-high,naive_cot,0.9,0.9291666666666666,5*6,1.0,1.0
hWCMAADhQYQcfF9jGpTyGx,o3-high,naive_cot,0.9,0.9291666666666666,6*6,0.6,0.7166666666666667
FBWpmAcbAN9Zdw5ZDmsHf7,gpt-5.4-none,naive_cot,0.25,0.6019444444444446,3*4,0.8,0.9333333333333332
FBWpmAcbAN9Zdw5ZDmsHf7,gpt-5.4-none,naive_cot,0.25,0.6019444444444446,4*5,0.2,0.67
FBWpmAcbAN9Zdw5ZDmsHf7,gpt-5.4-none,naive_cot,0.25,0.6019444444444446,5*6,0.0,0.3266666666666667
FBWpmAcbAN9Zdw5ZDmsHf7,gpt-5.4-none,naive_cot,0.25,0.6019444444444446,6*6,0.0,0.47777777777777775
Aif4kxPtQ6GAo3QJ3sd9f7,gpt-5.4-xhigh,nesy,1.0,1.0,3*4,1.0,1.0
Aif4kxPtQ6GAo3QJ3sd9f7,gpt-5.4-xhigh,nesy,1.0,1.0,4*5,1.0,1.0
Aif4kxPtQ6GAo3QJ3sd9f7,gpt-5.4-xhigh,nesy,1.0,1.0,5*6,1.0,1.0
Aif4kxPtQ6GAo3QJ3sd9f7,gpt-5.4-xhigh,nesy,1.0,1.0,6*6,1.0,1.0
CNz7Sr9Ara5v8UYgetE2d5,gpt-4.1,nesy,0.4,0.4958333333333334,3*4,1.0,1.0
CNz7Sr9Ara5v8UYgetE2d5,gpt-4.1,nesy,0.4,0.4958333333333334,4*5,0.4,0.5900000000000001
CNz7Sr9Ara5v8UYgetE2d5,gpt-4.1,nesy,0.4,0.4958333333333334,5*6,0.2,0.39333333333333337
CNz7Sr9Ara5v8UYgetE2d5,gpt-4.1,nesy,0.4,0.4958333333333334,6*6,0.0,0.0
RGQsUfwUmoamWUUijBRht7,o3-low,naive_cot,0.8,0.8,3*4,1.0,1.0
RGQsUfwUmoamWUUijBRht7,o3-low,naive_cot,0.8,0.8,4*5,1.0,1.0
RGQsUfwUmoamWUUijBRht7,o3-low,naive_cot,0.8,0.8,5*6,1.0,1.0
RGQsUfwUmoamWUUijBRht7,o3-low,naive_cot,0.8,0.8,6*6,0.2,0.2
hLjeRuVBzEhmbmoZWiMYGL,gpt-5.4-xhigh,naive_cot,1.0,1.0,3*4,1.0,1.0
hLjeRuVBzEhmbmoZWiMYGL,gpt-5.4-xhigh,naive_cot,1.0,1.0,4*5,1.0,1.0
hLjeRuVBzEhmbmoZWiMYGL,gpt-5.4-xhigh,naive_cot,1.0,1.0,5*6,1.0,1.0
hLjeRuVBzEhmbmoZWiMYGL,gpt-5.4-xhigh,naive_cot,1.0,1.0,6*6,1.0,1.0
BgpwXDUgWHLZBzo2aPTVU5,gpt-4.1,naive_cot,0.1,0.3775,3*4,0.4,0.6333333333333333
BgpwXDUgWHLZBzo2aPTVU5,gpt-4.1,naive_cot,0.1,0.3775,4*5,0.0,0.29
BgpwXDUgWHLZBzo2aPTVU5,gpt-4.1,naive_cot,0.1,0.3775,5*6,0.0,0.31999999999999995
BgpwXDUgWHLZBzo2aPTVU5,gpt-4.1,naive_cot,0.1,0.3775,6*6,0.0,0.26666666666666666
YRopaGiK5ojxkPxFc9JnX2,o3-low,nesy,0.7,0.8777777777777779,3*4,0.8,0.8
YRopaGiK5ojxkPxFc9JnX2,o3-low,nesy,0.7,0.8777777777777779,4*5,0.6,0.93
YRopaGiK5ojxkPxFc9JnX2,o3-low,nesy,0.7,0.8777777777777779,5*6,0.6,0.7866666666666667
YRopaGiK5ojxkPxFc9JnX2,o3-low,nesy,0.7,0.8777777777777779,6*6,0.8,0.9944444444444445
4zuwKAQQDNoyQ5HzRU3YLj,gpt-5.4-none,nesy,0.95,0.9986111111111111,3*4,1.0,1.0
4zuwKAQQDNoyQ5HzRU3YLj,gpt-5.4-none,nesy,0.95,0.9986111111111111,4*5,1.0,1.0
4zuwKAQQDNoyQ5HzRU3YLj,gpt-5.4-none,nesy,0.95,0.9986111111111111,5*6,1.0,1.0
4zuwKAQQDNoyQ5HzRU3YLj,gpt-5.4-none,nesy,0.95,0.9986111111111111,6*6,0.8,0.9944444444444445
cbqPLrujsTBuBkrbfsDBBy,o3-high,nesy,1.0,1.0,3*4,1.0,1.0
cbqPLrujsTBuBkrbfsDBBy,o3-high,nesy,1.0,1.0,4*5,1.0,1.0
cbqPLrujsTBuBkrbfsDBBy,o3-high,nesy,1.0,1.0,5*6,1.0,1.0
cbqPLrujsTBuBkrbfsDBBy,o3-high,nesy,1.0,1.0,6*6,1.0,1.0
